binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,success,index,rank,final_rank
"{'Mc': np.float64(4.698662947045069e+40), 'f': np.float64(1.4684706516267228e-09), 'D': np.float64(5077.255244462163), 'ra': np.float64(5.336798331115966), 'dec': np.float64(-0.7665975866725291), 'psi': np.float64(0.7361516358826332), 'iota': np.float64(0.09939677932832512), 'phi0': np.float64(4.49632772088746)}",-1.5069816896710945e-32,2.030042991333587e-30,-0.007423397908835023,0.007423397908835023,2.9426894455732587e-15,0.31893287804459536,1.4684706516267227,23629539027.72015,5077.255244462163,305.7760204854061,-43.92280630125024,-7.764563325140617e-33,4.055341075097863e-31,1122,1089,True,50,19,31
"{'Mc': np.float64(6.514930073101583e+40), 'f': np.float64(1.0665951240041237e-09), 'D': np.float64(11722.520713074071), 'ra': np.float64(0.2562474508300532), 'dec': np.float64(0.15488142847340833), 'psi': np.float64(0.23385424330736065), 'iota': np.float64(2.3945976975931402), 'phi0': np.float64(3.9451148215286236)}",1.3702831940431098e-32,2.030042991333587e-30,0.00675002056553953,0.00675002056553953,1.7755561527810052e-15,0.2649445249585005,1.0665951240041236,32763532128.227146,11722.520713074071,14.68189744354813,8.874052176483634,5.743290714860386e-33,1.2714549881646927e-31,1092,1119,True,1239,42,32
"{'Mc': np.float64(5.897889905597224e+40), 'f': np.float64(2.040847732755194e-09), 'D': np.float64(14888.277215311484), 'ra': np.float64(1.5125967496767598), 'dec': np.float64(-0.5841429914974621), 'psi': np.float64(2.673623293384698), 'iota': np.float64(1.5999321648010822), 'phi0': np.float64(4.815101728321177)}",-1.1112659355271919e-32,2.030042991333587e-30,-0.005474100500685323,0.005474100500685323,1.8254214576134715e-15,0.14235498491255938,2.0408477327551937,29660441975.97763,14888.277215311484,86.66540986168461,-33.46892804495091,2.257251970478949e-33,3.002494955046255e-31,1088,1123,True,394,40,33
"{'Mc': np.float64(5.322135611104197e+40), 'f': np.float64(2.184604288434719e-09), 'D': np.float64(15194.8873642374), 'ra': np.float64(3.149950996568874), 'dec': np.float64(-0.4498662689592215), 'psi': np.float64(1.0430574846131209), 'iota': np.float64(1.2113612965000442), 'phi0': np.float64(6.053942946357698)}",7.805640752557344e-33,2.030042991333587e-30,0.0038450617971541676,0.0038450617971541676,1.5771282954176557e-15,0.11489850378608536,2.184604288434719,26764978154.582153,15194.8873642374,180.47889777642413,-25.775438556660546,9.354166507615273e-34,8.508823473290161e-32,1132,1079,True,620,47,34
"{'Mc': np.float64(2.214941306208827e+40), 'f': np.float64(1.805803588290345e-09), 'D': np.float64(2477.749333668406), 'ra': np.float64(4.225704734103121), 'dec': np.float64(0.16761118325342952), 'psi': np.float64(0.3013787833852744), 'iota': np.float64(1.3472494389705254), 'phi0': np.float64(0.9703776931415329)}",-7.209465821835524e-33,2.030042991333587e-30,-0.0035513857847411607,0.0035513857847411607,1.9762085336880483e-15,0.17417362483735901,1.805803588290345,11138922418.78845,2477.749333668406,242.1150467325606,9.603413399615334,-1.3242203812165402e-33,1.1183382404699848e-31,1123,1088,True,214,35,35
"{'Mc': np.float64(6.428966737219606e+40), 'f': np.float64(1.5186575171660611e-09), 'D': np.float64(12280.247007273038), 'ra': np.float64(0.6313262760695553), 'dec': np.float64(0.3839915464759287), 'psi': np.float64(2.341938448772174), 'iota': np.float64(3.05212608540779), 'phi0': np.float64(1.5991749766416206)}",-7.016646491327684e-33,2.030042991333587e-30,-0.003456402904412517,0.003456402904412517,2.098170862915441e-15,0.21988780255572604,1.5186575171660612,32331223187.77556,12280.247007273038,36.17233111449658,22.001094981772315,7.366201793427567e-33,2.7640315953737895e-31,1088,1123,True,1085,32,36
"{'Mc': np.float64(4.266351099283616e+40), 'f': np.float64(1.41260796118218e-09), 'D': np.float64(5315.227188501798), 'ra': np.float64(5.749906603769662), 'dec': np.float64(-1.0018720183879555), 'psi': np.float64(0.40834597752403173), 'iota': np.float64(1.9000141872541108), 'phi0': np.float64(5.613852754464701)}",6.055132111311596e-33,2.030042991333587e-30,0.0029827605312603873,0.0029827605312603873,2.3321671951100776e-15,0.262759341174816,1.41260796118218,21455446143.434982,5315.227188501798,329.44538099040255,-57.403038265883055,-9.730022394886615e-35,1.012251673243709e-31,1104,1107,True,532,25,37
"{'Mc': np.float64(3.7055040696617866e+40), 'f': np.float64(2.9000686050025223e-09), 'D': np.float64(10298.43212020652), 'ra': np.float64(5.288884841321502), 'dec': np.float64(0.9260518993874841), 'psi': np.float64(2.7992079730519506), 'iota': np.float64(2.2026408759233003), 'phi0': np.float64(5.364586211541185)}",5.54114177084906e-33,2.030042991333587e-30,0.0027295686813060753,0.0027295686813060753,1.5372788591845586e-15,0.08436542808947771,2.9000686050025224,18634950839.900963,10298.43212020652,303.0307797384402,53.058865444976384,-2.736648389931464e-34,4.7208801776731496e-32,1105,1106,True,1854,50,38
"{'Mc': np.float64(3.9267668407360593e+40), 'f': np.float64(1.2594683752685197e-09), 'D': np.float64(3862.330239963846), 'ra': np.float64(4.013726943156441), 'dec': np.float64(-0.04058879590907262), 'psi': np.float64(0.515222359126927), 'iota': np.float64(1.0925170171163228), 'phi0': np.float64(5.6438426381536395)}",-4.7350550410984476e-33,2.030042991333587e-30,-0.002332490031646014,0.002332490031646014,2.5892464644978962e-15,0.32719469722310074,1.2594683752685196,19747679576.438465,3862.330239963846,229.96961396080934,-2.325566701107723,-1.5268912321374984e-33,1.9003971977511791e-31,1111,1100,True,1441,22,39
"{'Mc': np.float64(1.6202898043570865e+40), 'f': np.float64(2.080167369156838e-09), 'D': np.float64(2043.819267220916), 'ra': np.float64(5.64428821331964), 'dec': np.float64(-0.5662707433188486), 'psi': np.float64(2.0760495118061066), 'iota': np.float64(0.881579912504905), 'phi0': np.float64(5.44094703338126)}",-4.681042938492682e-33,2.030042991333587e-30,-0.0023058836480194865,0.0023058836480194865,1.5635686570619908e-15,0.1196296434242402,2.0801673691568383,8148424690.123998,2043.819267220916,323.3938929786514,-32.44492365390599,-1.114193944352105e-33,3.5135529635571575e-32,1096,1115,True,1872,48,40
"{'Mc': np.float64(2.066974150523285e+40), 'f': np.float64(2.3601202655406276e-09), 'D': np.float64(2420.05901494851), 'ra': np.float64(5.483783006449976), 'dec': np.float64(0.06486982028218054), 'psi': np.float64(0.5480133340766286), 'iota': np.float64(0.5099101220354045), 'phi0': np.float64(3.967359496189105)}",4.280581854790384e-33,2.030042991333587e-30,0.002108616355941487,0.002108616355941487,2.155400445775397e-15,0.145349641836599,2.3601202655406275,10394796755.914272,2420.05901494851,314.19762203514557,3.716766919941092,-6.946161558188357e-34,1.5931745632251998e-31,1117,1094,True,1566,28,41
"{'Mc': np.float64(4.0813983198046283e+40), 'f': np.float64(1.084517584405921e-08), 'D': np.float64(10634.168059467544), 'ra': np.float64(0.08294897258075584), 'dec': np.float64(0.4522854151950456), 'psi': np.float64(1.2152429603613506), 'iota': np.float64(0.5149093849333226), 'phi0': np.float64(0.09734386713353531)}",4.1747422219239756e-33,2.030042991333587e-30,0.0020564797099107152,0.0020564797099107152,4.213489747419732e-15,0.061833734243803264,10.84517584405921,20525320069.222206,10634.168059467544,4.752626043823698,25.91404542599823,-7.96874832996772e-33,2.8651176047307833e-31,1113,1098,True,647,13,42
